t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,t100,t101,t102,t103,t104,t105,t106,t107,t108,t109,t110,t111,t112,t113,t114,t115,t116,t117,t118,t119,t120,t121,t122,t123,t124,t125,t126,t127,t128,t129,t130,t131,t132,t133,t134,t135,t136,t137,t138,t139,t140,t141,t142,t143,t144,t145,t146,t147,t148,t149,t150,t151,t152,t153,t154,t155,t156,t157,t158,t159,t160,t161,t162,t163,t164,t165,t166,t167,t168,t169,t170,t171,t172,t173,t174,t175,t176,t177,t178,t179,t180,t181,t182,t183,t184,t185,t186,t187,t188,t189,t190,t191,t192,t193,t194,t195,t196,t197,t198,t199,t200,t201,t202,t203,t204,t205,t206,t207,t208,t209,t210,t211,t212,t213,t214,t215,t216,t217,t218,t219,t220,t221,t222,t223,t224,t225,t226,t227,t228,t229,t230,t231,t232,t233,t234,t235,t236,t237,t238,t239,t240,t241,t242,t243,t244,t245,t246,t247,t248,t249,t250,t251,t252,t253,t254,t255,t256,t257,t258,t259,t260,t261,t262,t263,t264,t265,t266,t267,t268,t269,t270,t271,t272,t273,t274,t275,t276,t277,t278,t279,t280,t281,t282,t283,t284,t285,t286,t287
0,2700,5100,4500,6900,10500,14400,16200,17700,17100,18300,19200,20700,21600,24000,24000,27600,26400,27300,28200,28200,28200,29400,30900,31200,32400,33300,34800,37200,38100,41700,43800,47100,50700,50400,53100,55800,59700,63900,66000,69300,73500,77400,80400,81600,81000,83100,81600,81600,83700,84000,85500,86700,89400,93600,92700,92700,94200,93000,96900,96300,99600,101700,100800,102900,105600,105600,105900,105000,107400,105900,106200,109500,110700,112800,113700,115200,119100,123300,127500,128400,128700,132000,132600,133800,132900,135600,135600,139200,138300,142800,145800,148500,152100,152100,156000,158700,162900,165300,163800,165300,166500,169200,173100,175200,178200,177600,182100,180900,185100,186000,189300,191700,193500,193500,195900,195000,199500,198600,201900,205500,205200,207900,211200,211800,216300,216900,218100,217500,218700,219900,222000,221400,220800,222300,221100,221700,224400,225900,227100,225600,228600,227700,231000,233400,232800,233100,232200,233700,234600,236700,237000,238800,238200,242400,245400,249000,251400,252300,255300,255600,259800,261900,263400,266700,265500,269400,269400,273300,276900,279900,279000,280800,284400,284700,287100,286800,291300,293700,295500,296400,300000,299700,298800,300300,303900,306900,306000,307200,309300,313800,316500,317100,320700,325200,327000,330300,333000,334800,336300,336900,339900,344400,347400,351900,351600,353400,354600,355500,358800,358500,357900,358800,359700,358500,360900,361200,361800,364800,368700,369600,368700,369300,373500,374100,378000,378900,378300,382200,384600,384000,384300,385800,389700,389100,388800,392700,392400,396600,398400,402000,404700,409200,412500,416100,419100,418200,419100,421200,423000,423000,422700,426000,425400,429900,429300,432900,435000,434700,438600,438300,442500,441000,444900,448800,449100,452400,456600,459600,460800,459600,459600,459300,463500,465300,469800,470400,470100,469800,473700,474000,478200,477600,476700,477600,479400,483300,484200
0,0,0,0,0,0,0,1200,0,3900,4500,8100,6900,5700,8700,7500,9600,8100,10200,12300,11100,9900,8700,7500,10800,15300,15000,17100,15900,14700,15000,13800,12600,13800,15900,20100,21300,21600,20400,19800,18600,20700,20100,19800,18600,18000,17400,16200,15000,17400,16200,20400,23700,22800,24900,24900,23700,22800,21600,23100,21900,20700,22800,21600,20400,20100,18900,17700,21000,24000,27300,26400,27900,28500,32400,31500,30000,34500,34500,33000,36900,36000,34500,36900,35400,33900,32700,31200,32100,36000,36000,40200,38700,37200,37500,38400,40800,42600,42000,40800,40500,41700,42300,45900,45300,44100,46800,48600,47400,46200,46200,45000,47400,45900,45000,43800,45600,44400,43200,42000,44700,43200,42000,41100,39900,39600,41700,40500,39300,39900,38700,38100,41100,39900,38400,37200,40500,40800,43200,42000,40800,42300,41700,45600,44700,43800,42900,42000,41100,40200,39900,38400,38100,36600,36600,35100,33600,38100,36600,35400,33900,36000,34800,38100,40800,39300,38100,37800,36300,39300,40200,38700,41100,41100,42300,42300,40800,44700,43200,41700,40200,38700,37200,35700,36000,37800,39600,43800,42300,40800,39300,37800,36600,39600,43200,42000,45900,49800,48600,50700,50700,49500,48300,47100,46200,45000,47400,48900,51000,54900,53700,52500,51300,55200,54000,55800,58800,57600,60300,59100,57900,56700,60900,65400,64200,63000,61800,63000,67200,66000,64800,63600,62400,61200,60000,63600,62400,61200,62700,61500,60600,59400,63300,62100,60900,59700,58200,59400,58800,57600,59100,57900,62100,63900,64500,63300,62100,61200,60600,59400,63600,66300,66600,69900,72300,71100,72600,71400,73800,75900,74700,73500,72300,71100,69900,68700,67500,66300,65100,63900,62700,61500,63600,66900,68400,67200,66000,69300
0,0,0,3900,2400,900,0,0,0,1500,0,0,0,0,0,3600,3000,1500,0,0,0,0,3900,4200,7200,9600,8100,12000,10500,9000,7800,7500,6000,4500,3000,1500,3900,4800,3300,1800,300,0,900,0,3600,2100,3000,1500,0,0,0,0,0,0,0,3300,1800,300,0,0,4200,2700,5400,3900,2400,5700,4200,2700,3000,1500,0,0,1800,3900,4500,6000,4500,3000,1500,0,0,900,0,0,0,0,0,3300,1800,6300,4800,3300,1800,2700,1200,0,0,0,1800,1200,600,0,0,0,0,0,0,0,300,0,0,3600,3000,2400,1800,1200,3300,2700,3600,3600,3000,2400,900,3000,2400,1800,3300,2700,1800,1800,1800,1800,1800,1800,1800,1800,1800,2100,2100,3600,3600,6000,7500,7500,7500,7500,7500,7500,6300,9300,13200,13200,17100,17100,19800,19800,19800,19800,19200,19200,19200,19200,23400,27000,27000,27000,26400,29400,29400,29400,29400,29400,29100,29100,29100,29100,29100,31200,33000,34200,35400,34800,34200,33600,33000,35100,34500,33900,34800,34800,34800,37200,36600,36000,35400,34800,34200,33600,33000,32400,31800,31200,30600,29700,30600,30000,29400,28800,27600,26400,25200,23700,23100,22500,21900,21300,20700,25200,24600,24000,23400,27900,29700,33600,33000,31800,30300,28800,33300,31800,30300,28800,32700,31200,29700,28200,26700,25200,23700,25800,24300,22800,23400,27300,26100,27600,31800,30300,29400,29400,27900,26400,30600,32700,31200,29700,28200,30000,28500,27000,25500,24000,22800,21300,19800,19500,19200,18900,20700,19200,22800,21600,22500,26700,25500,24000,22500,21000,19500,19200,18900,21300,20400,19200,18900,18600,22500,21600
3600,2100,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,4500,3000,1500,900,0,600,0,600,600,0,900,600,0,600,0,600,0,600,0,600,0,1200,0,600,0,600,0,2400,900,0,0,0,0,0,0,1200,0,0,0,0,3000,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,3000,6000,4500,3000,1500,6000,4500,3000,1500,0,0,0,0,0,0,0,4500,5100,3600,2100,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3900,2400,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2700,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,600,0,600,0,600,0,600,0,600,0,0,600,0,0,1800,300,0,600,4200,2700,1200,0,600,0,600,0,600,1800,300,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,3600,2100,600,0,600,3900,3900,7800,6300,4800,3300,1800,300,0,600,0,3900,2400,900,600,0,600,0,600,0,600,0,600,0,600,0,600
300,0,300,0,300,0,300,0,1800,900,0,300,900,5400,4500,3600,2700,1800,900,0,300,0,300,0,4200,3300,2400,2700,1800,900,0,300,3000,2100,1200,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,4200,3300,2400,1500,600,0,300,0,0,300,0,300,0,300,0,2400,1500,600,0,300,0,300,0,300,0,300,3000,2100,1200,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,3900,2700,1500,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,0,300,0,300,0,300,0,300,0,300,4500,3300,2100,900,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,4200,3000,1800,600,0,300,0,300,0,300,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,0,300,4800,3600,2400,1500,600,0,300,0,300,0,3300,2400,1500,600,0,300,0,900,0,300,0,300,0,300,0,300,0,300,0,300,2100,1200,0,300,0,300,0,300,0,300,0,1800,900,0,300,0,300,0,300,0,300,0,300,0,300,0,300
300,300,300,300,300,300,0,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,2100,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,300,0,0,300,300,300,300,300,300,300,0,0,300,300,300,300,300,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7200,7200,7200,7200,6900,6600,6300,6000,5700,5400,5100,4800,4500,4200,3900,3600,3300,3000,2700,2400,2100,1800,1500,1200,900,600,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,1500,1200,900,3900,3600,3300,3000,6000,5700,5400,5100,4800,4500,4200,3900,3600,3300,3000,2700,7200,6900,6600,6300,6000,5700,5400,5100,4800,4500,4200,3900,3600,2700,2400,2100,1800,1500,1200,900,600,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1800,1800,1800,1800,1800,1800,1800,1800,1500,1200,1200,1200,1200,1200,1200,900,900,900,4200,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3600,3600,3600,3600,3600,3600,7200,6900,6900,6600,6600,6300,6300,6000
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,0,300,300,0,300,300,0,300,300,0,3900,2700,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,300,0,300,300,300,300,300,300,300,300,300,300,300,300,300,300,0,300,0,300,0,300,0,300,300,300,300,300,300,300,300,300,300,300,300,0,300,300,300,300,300,300,300,300,300,300,300,600,600,600,600,600,1800,1800,1800,3300,4800,6300,7800,9300,10800,12300,13800,13500,13200,12900,12600,12300,12000,11700,11400,11100,10800,10500,9000,8700,7200,6900,6600,6300,6000,5700,8100,7800,7500,7200,6900,5400,5700,4200,3900,4800,4500,3000,2700,2400,2100,1800,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,300,300,300,300,300,300,300,300,300,300,300,300,300,0,300,300,300,300,300,300,300,300,300,300,300,300,300
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,0,300,0,300,1800,600,600,600,600,600,600,600,600,0,300,300,300,300,300,300,300,0,300,300,300,300,300,300,300,300,300,2100,900,900,900,900,900,900,900,900,900,900,900,0,600,0,300,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,300,300,300,300,300,300,300,300,300,300,300,1200,1200,1200,1200,1200,1200,1200,1200,900,600,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,2100,1800,1500,1200,900,600,300,0,300,0,300,0,300,0,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,1500,1200,900,600,300,0,300,0,300,1500,1200,900,900,600,300,0,300,0,3000,2700,2400,2100,1800,1500,1200,900,600,300,2400,2100,1800,1500,1200,900,600,300,0,300,0,300,0,300,0,300,3300,3000,2700,2700,2400,2400,2100,2100,1800,1500,1200,900,600,600,300,300,0,300,300,0,300,300,0,300,300,0,300,300,300,0,300,300,300,300,0,300,0,300,0,300,0,300,0,300,0,300,300,300,300
300,300,300,300,300,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,900,900,0,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,0,300,300,300,300,300,0,300,300,300,300,300,0,300,0,300,0,300,0,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,0,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4200,3600,3000,2400,2100,1800,1500,1200,900,600,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,3300,3000,2700,2400,2100,1800,1500,1200,900,600,300,0,300,0,300,0,300,0,300,0,300,4800,6300,6000,5700,5400,5100,7200,6900,6600,6300,6000,5700,5400,5100,4800,4500,4200,3900,3600,3300,3000,2700,2400,2100,1800,1500,1200,900,600,300,0,900,600,300,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,3000,2700,2400,2100,1800,1500,1200,900,600,300,0,300,0,300,0,300,0,300,300,0,300,300,0,300,0,300,0,1500,1200,3000,2700,2400,2100,1800,1500,1200,900,600,300,300,300,300,300,300,300,300,300,300,0,1200,900,900,900,900,900,900,900,900,900,900
300,300,300,300,300,300,300,300,300,0,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,2700,2700,2700,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,7800,7800,11400,11400,10200,10200,9000,9000,7800,7800,6600,5400,4200,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,3000,2700,2700,2400,2100,1800,1500,1200,900,600,300,0,300,0,300,0,300,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,300,0,3900,3600,3600,3300,3300,3000,2700,2400,2100,1800,1500,1200,900,600,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,300,0,300,0,300,0,300,0,300,0,300,0,300,300,300,300,300,0,300,300,300,300,0,300,300,300
