t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,t100,t101,t102,t103,t104,t105,t106,t107,t108,t109,t110,t111,t112,t113,t114,t115,t116,t117,t118,t119,t120,t121,t122,t123,t124,t125,t126,t127,t128,t129,t130,t131,t132,t133,t134,t135,t136,t137,t138,t139,t140,t141,t142,t143,t144,t145,t146,t147,t148,t149,t150,t151,t152,t153,t154,t155,t156,t157,t158,t159,t160,t161,t162,t163,t164,t165,t166,t167,t168,t169,t170,t171,t172,t173,t174,t175,t176,t177,t178,t179,t180,t181,t182,t183,t184,t185,t186,t187,t188,t189,t190,t191,t192,t193,t194,t195,t196,t197,t198,t199,t200,t201,t202,t203,t204,t205,t206,t207,t208,t209,t210,t211,t212,t213,t214,t215,t216,t217,t218,t219,t220,t221,t222,t223,t224,t225,t226,t227,t228,t229,t230,t231,t232,t233,t234,t235,t236,t237,t238,t239,t240,t241,t242,t243,t244,t245,t246,t247,t248,t249,t250,t251,t252,t253,t254,t255,t256,t257,t258,t259,t260,t261,t262,t263,t264,t265,t266,t267,t268,t269,t270,t271,t272,t273,t274,t275,t276,t277,t278,t279,t280,t281,t282,t283,t284,t285,t286,t287
600,2400,5400,5100,4200,8700,7800,8100,8700,10200,13200,15600,15300,16800,16800,20100,20100,20100,24000,28200,30600,30900,30300,33000,35100,35700,39300,41100,42000,43200,42300,41100,42900,44700,46800,49200,52800,51600,54300,54900,55800,54300,58200,60300,59100,57600,59700,58500,60300,64500,65100,66600,69000,73200,77700,80700,85200,85800,90000,88500,90600,93000,94200,98400,102000,104700,105300,107400,111900,110700,113700,113400,117000,116100,116700,115800,0,0,0,0,0,0,0,0,2400,900,0,3900,3300,2100,2400,5400,8700,7800,10800,11100,12600,12000,13500,13500,13200,12300,15300,18900,21300,24000,22500,23700,24900,28200,32700,35700,35400,33900,37500,40200,42600,41400,41700,40800,44700,46500,48300,47100,48600,51300,51300,53700,57600,60900,60300,63900,68400,70800,74400,75300,74100,78600,82800,84000,87600,92100,94200,96300,100200,102600,104100,103500,102000,101700,103500,106500,109500,114000,113100,112500,113700,116700,119400,119700,119700,122100,121500,122700,126000,128100,131700,133500,135000,134700,136800,135600,134700,138600,138600,141900,143700,143100,147000,148800,150300,153300,153300,156000,156600,160200,162600,165600,168300,169200,171000,172200,176100,177900,176700,177000,177600,180600,179100,181200,180000,182100,181800,180300,182700,181800,184800,183900,183300,185100,186300,189900,192300,195600,200100,201900,203700,204300,207300,206400,210600,214200,218100,216600,215100,217500,217800,222300,220800,225000,227400,229200,228600,230700,230700,234300,237300,240900,245100,246900,248700,250500,252000,255300,255600,255300,259500,259800,258300,262800,266400,270300,274500,273300,272100,273300,276000,275100,275100,276600,279900,278700,277500,281100,284700,285600,289800,289200,288000,289800,289800,290400,294600,294000,298200,298800,303000,306000,306600,306300,306000,305700,310200,309000,309300,309300,310200,312300
0,2400,900,5400,3900,2400,6600,5100,3600,2100,600,0,3000,3900,3600,6900,7200,5700,4200,8400,12600,11100,9600,13500,12000,11100,9600,12900,11400,15900,14400,15600,14100,17400,17400,20700,24300,22800,21300,22500,21000,22500,21000,24300,22800,21600,20100,24000,27600,26100,24600,23100,23400,24300,26100,29700,33300,37500,36000,36000,34500,33000,36600,35100,33600,32700,32400,36900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,2100,5100,3900,8100,6600,7800,6900,5400,3900,2400,6300,4800,3600,2100,4200,4200,8100,9900,11100,12000,11100,10200,11100,10200,9300,8400,7500,10800,13500,16500,15600,14700,13800,16500,15600,14400,13200,12000,11100,10200,9300,8400,7500,12000,13800,17400,16500,15600,16500,21000,20100,21900,21000,22200,21600,20700,21900,21300,20100,22500,22500,21000,25500,24900,23700,22800,21900,20400,22800,21900,25200,24300,24300,23400,22500,24300,22800,21300,19800,18600,17700,18300,17400,16500,15600,15900,18900,18000,17100,15900,15000,16500,15600,20100,19500,18600,17700,16800,19200,23700,22200,20700,24300,26100,24600,23100,22500,24900,24300,27300,25800,24300,22800,21300,19800,18300,16800,18000,21000,24300,25500,24000,22500,21000,19500,18000,16500,17700,16800,17400,15900,14400,12900,12600,11700,10200,9300,13500,12000,10500,9000,7500,8100,12300,16800,21000,19500,20700,20100,18600,17100,15600,14400,18900,17700,16200,14700,13200,11700,10200,12300,10800,12600,11100,11100,15600,18300,16800,18600,18300,18300,16800,16500,17100,19500,18000,21600,20100,24300,22800,25500,25500,24000,23400,21900,22500,21000,19800,21000,19500,19500,19200,18900,17700,16200,15900,15300,14400,14100,13800,13500,13200,15900
600,1800,3600,4800,6000,5400,6600,5400,6000,4800,6000,6900,8100,6600,5100,6300,4800,6000,5100,3600,2100,600,0,3300,1800,300,1200,0,2100,600,0,0,3600,2100,600,0,0,0,0,900,0,3900,2400,900,1500,0,0,0,1800,300,1800,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2700,1200,4500,3000,1500,0,0,0,2700,4800,3300,1800,300,0,0,2100,900,0,0,0,0,4200,6300,6600,6900,6000,6300,5400,5700,6300,6600,6900,7200,6600,8700,9000,13500,13800,14100,14400,13200,15900,16200,14700,13200,14400,16200,14700,13200,15300,13800,12300,16800,15300,15600,14100,12600,11100,11400,9900,14100,12600,11100,9600,8100,6600,5100,3600,2100,600,0,0,3000,6300,4800,3900,2400,900,2100,4800,8400,8700,7200,5700,4500,7200,5700,4200,3600,3300,1800,300,0,0,2400,4200,6000,5700,4200,2700,1200,3000,4800,3300,1800,300,300,4200,2700,5700,8700,7200,5700,9300,9000,7500,6000,4500,3000,1500,0,0,0,1800,3600,5400,7200,9000,7800,7500,6300,5100,3900,2700,1500,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,1800,5400,5400,9300,13200,13500,12300,11100,9900,8700,7200,6000,4800,6600,5400,4200,2700,1200,0,0,0,0,0,0,0,0,0,0,0,0,3300,1800,1200,0,0,0,0,0,0,0,0,0,0,0,0,2400,900,0,2400,900,0
600,0,600,0,600,1200,0,600,0,600,0,600,0,3900,2400,900,0,600,0,600,0,0,0,0,4200,4500,3000,3600,6000,4500,3000,1500,0,1500,0,0,0,0,0,0,0,3900,2400,900,0,900,0,0,0,0,0,0,0,0,300,0,0,0,0,0,4500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,600,2700,1200,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,1200,0,0,0,0,0,2100,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,3000,3300,2100,900,1200,3300,2100,900,3000,5700,4500,3300,2100,6000,4800,3600,2400,1200,0,0,0,0,0,0,0,0,0,0,0,0,3900,6000,4800,3600,2400,1200,0,0,0,0,3600,2100,900,3000,1800,600,0,0,0,0,4500,3300,2100,900,2100,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,3300,2100,900,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,0,900,0,0,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0
0,300,0,0,0,0,0,0,0,300,600,900,0,300,600,600,900,0,0,0,0,0,300,0,0,0,300,0,300,0,1500,300,600,0,0,0,300,600,900,1200,1500,1800,2100,2400,2700,3000,2100,900,5100,3600,2100,600,0,0,0,0,0,0,0,0,0,0,0,3000,2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,300,0,0,0,0,0,0,0,300,0,0,0,0,0,300,3900,3300,2700,2100,900,1200,0,300,600,0,0,0,0,900,0,0,0,4500,3300,2400,1200,300,0,300,0,4200,3300,2400,1500,600,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,300,0,0,0,0,4500,3600,5700,4800,3600,2700,1500,600,0,0,0,300,0,0,0,0,0,0,0,0,300,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,2100,1500,300,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,1500,1500,300,300,600,4200,4200,4200,4200,3000,3000,1800,2100
0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,3300,3000,2700,2400,2100,900,4500,3300,3000,1800,1500,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,2100,900,600,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,600,900,1200,1500,1800,2100,1200,300,0,0,0,0,0,300,0,300,0,300,0,300,0,0,0,0,0,0,0,0,0,0,300,600,900,0,0,0,0,0,0,0,0,0,0,0,0,0,3900,3000,2100,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,4500,3600,2700,1800,900,0,0,0,300,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,300,2400,2700,1800,1500,1200,900,600,300,0,0,0,0,0,0,0,4500,3300,3000,1800,1500,300,0,0,0,0,300,0,0,0,2100,1800,600,300
0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,600,0,0,0,0,0,0,0,0,0,0,2400,2700,2400,2700,3000,2700,2400,2100,1800,1500,1200,2400,5100,3900,3600,2400,2100,900,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,600,0,0,4500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,1500,1800,2100,2400,2100,1800,1500,1200,900,300,0,0,4500,3300,2700,1800,1500,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,900,3300,2700,2100,1500,900,1500,900,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,4500,3900,3300,2700,2100,1500,900,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3300,2100,1200,0,0,0,0,0,0,0,0,0,0,0,0,4200,7800,6600,11100,9900,9600,8400,8100,6900,8700,7500,7800,7500,7200,6900,6600,6300,5100,4800,3600,3900,2700,2400,1200,900,3600,3300,2100,1800,600,300,0
0,0,0,0,0,0,0,0,0,2400,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,300,600,300,0,0,0,0,0,300,4800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,600,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,300,0,0,300,0,300,0,300,0,600,0,300,0,300,0,300,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4200,3300,2100,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,600,900,1200,1500,1800,2100,2400,2700,1800,900,0,0,0,0,900,1200
0,0,4500,3300,2100,900,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,300,0,0,300,4800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2700,1800,900,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,3900,2400,900,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,4200,2700,1200,0,0,0,0,0,0,0,0,0,0,0,0,2400,900,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,300,0,300,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4200,3900,2700,2400,1200,900,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,300,600,900,1200,300,600,300,0,0,0,0,0,300,4800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,300,600,900,1200,0,300,600,900,1200,1500,1800,2100,2400,2700,3000,3300,3600,3900,4200,4500,4800,6600,6900,7200,7500,7800,8100,9300,9600,9900,10200,10500,14700,15000,14400,14700,15000,15300,15600,15900,19500,19800,20100,18900,18300,17700,17100,16500,15900,15300,14700,14100,13500,12300,10800,9600,9000,7800,7200,6000,5400,4200,3600,2400,1800,600,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,300,0,0,0,0,0,0,0,3900,4200,3000,7200,6000,5400,4200,3600,2400,1800,600,0,0,300,0,0,0,0,0,0,0,0,0,0,0,300,0,300,600,0,300,0,2100,900,300,0,0,0,0,0,0,0,0,4200,6900,5700,5100,3900,3300,2100,2400,1200,600,0,0,0,300,0,300,0,300,0,300,0,300,600,900,1200,0,0,300,600,900,1200,0,3600,3900,2700,3000,2100,2400,2700,3000,3300,3600,3900,2700,3000,3300,2100,2400,1200
