t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,t100,t101,t102,t103,t104,t105,t106,t107,t108,t109,t110,t111,t112,t113,t114,t115,t116,t117,t118,t119,t120,t121,t122,t123,t124,t125,t126,t127,t128,t129,t130,t131,t132,t133,t134,t135,t136,t137,t138,t139,t140,t141,t142,t143
6600,9600,17400,25800,25800,26400,35400,42600,49800,53400,57000,57000,54000,60000,64800,71400,70200,70800,75600,79800,87000,92400,100200,109200,111000,118800,117600,121800,123600,124800,132600,139800,145800,148200,156000,154800,162000,168600,169800,173400,178200,186000,195000,204000,202800,211200,220200,223200,222600,219600,219600,216600,220200,219600,225600,231600,229200,237600,237600,238800,240600,244200,252600,250800,250800,249600,258600,265800,271800,277200,280200,288600,290400,288000,290400,287400,287400,295800,297000,300000,297000,305400,312600,319200,322800,329400,338400,344400,343200,348000,345000,346200,344400,343800,341400,343200,348000,350400,357000,360600,361800,366600,375000,373200,381000,388200,387600,392400,394200,399000,400200,400800,403800,405000,403800,411600,412800,415800,412800,413400,412800,414000,423000,429000,431400,434400,443400,441000,445200,449400,458400,455400,457200,465000,470400,478200,478200,475800,476400,482400,481800,480000,483000,490800
6600,12600,9600,13200,10200,19200,17400,14400,23400,22800,19800,21000,18000,15000,12000,9000,16200,13200,10200,13200,10200,7200,7200,12000,15000,12000,17400,14400,16200,13200,10800,13200,12000,9000,6000,3000,6600,3600,12600,9600,6600,10200,7200,4200,1200,0,0,0,0,7200,4200,6600,7800,6600,3600,9600,12000,21000,24600,21600,18600,22800,19800,16800,14400,19200,16200,13200,10200,8400,5400,12000,9000,6000,5400,4800,1800,3000,0,0,6600,3600,10800,18000,18600,15600,16200,13200,10200,10800,15000,21600,23400,20400,17400,19800,16800,16800,13800,21600,18600,15600,24000,22200,19200,16200,24600,25800,34800,42600,43800,48000,49200,50400,48000,52200,57000,58200,59400,60600,61800,63000,68400,65400,62400,69600,68400,77400,76800,73800,72600,71400,75000,84000,86400,84000,93000,99600,97200,102600,100200,100200,97800,102600
0,0,0,1800,0,0,0,0,0,7200,5400,3600,9000,7200,5400,3600,1800,3000,0,0,0,0,0,0,1800,9600,6600,3600,1800,0,0,0,0,7800,12000,9000,6000,9000,14400,12000,9000,7800,4800,5400,2400,0,0,0,0,0,0,0,0,0,4200,12000,9000,6000,3000,5400,2400,9000,6000,3000,0,0,0,0,0,0,0,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4800,1800,0,0,0,0,7800,4800,1800,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,600,1800,0,3600,600,0,600,0,600,0,600,0,600,0,3600,600,2400,0,600,0,600,0,0,600,0,600,0,0,600,0,7800
1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,3000,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,4800,2400,0,1200,9600,7200,4800,2400,0,1200,0,600,6600,9000,13800,10800,19200,19800,18600,17400,16200,15000,13800,12600,13200,13800,14400,12000,12600,9600,10200,10800,11400,12000,12600,13200,13800,14400,15000,15600,16200,16800,18000,18600,27600,28200,28800,29400,33600,34200,34800,40800,39000,39600,40200,42000,43800,45600,47400,49200,51000,51000,49200,51000,52800,54600,56400,58200,60000,61800,63600,65400,67200,69000,70800,72600,74400,76200,73800,75600,77400,79200,81000,82800,84600,86400,88200,85800,87600,89400,87000,84600,82200,79800,82800,80400,78000,82800,80400,78000,75000,76800,78600,86400
1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,9000,6600,4200,1800,0,1200,4200,1800,0,1200,1200,0,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,10200,7800,9000,6600,4200,1800,0,1200,0,1200,0,1200,0,1200,0,7800,5400,3000,600,0,1200,0,1200,0,1200,0,7200,6000,4800,3600,2400,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,4800,2400,0,1200,0,5400,3000,600,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,9000,6600,4200,1800,0,1200,0
1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,4800,2400,0,1200,0,1200,0,1200,0,1200,0,1200,2400,3600,4800,6000,7200,8400,9600,10800,12000,13200,14400,15600,16800,18000,19200,20400,21600,19800,18000,16200,14400,12600,10800,9000,7200,5400,3600,1800,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,0,1200,8400,6600,4800,3000,1200,600,0,1200,0,1200,0,1200,0,1200,0,1200,8400,6600,4800,3000,1200,0,6000,15000,13200,11400,9600,7800,6000,4200,2400,600,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,2400,600,1800,3000,4200,5400
1200,2400,3600,4800,6000,3600,9600,7200,4800,2400,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,1800,2400,3000,3600,4200,3000,600,0,1200,3600,9000,7800,6600,4200,3000,1800,600,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,0,1200,0,1200,0,1200,0,1200,0,1200,8400,7200,6000,4800,3600,2400,1200,0,1200,0,1200,0,1200,0,1200,0,1200,2400,5400,4200,3000,1800,600,0,1200,8400,7200,12000,10800,7800,6600,3600,2400,0,1200,0,4200,3000,1800,600,0,1200,0,1200
1200,0,1200,0,1200,0,1200,0,1200,6600,4200,1800,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1800,1800,1800,1800,1800,1800,1800,1800,1200,1200,1200,1200,1200,1200,1200,1200,1200,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,9600,9600,9600,9600,9600,9600,9600,17400,18600,18600,18600,18600,18600,18600,18600,18600,18600,18600,18600,18600,18600,18600,18600,20400,20400,20400,20400,20400,20400,20400,20400,20400,20400,20400,20400,20400,20400,20400,20400,20400,20400,20400,20400,20400
1200,0,1200,0,1200,0,1200,0,5400,3000,600,0,1200,0,1200,0,1200,0,1200,0,600,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,1200,1200,1200,1200,1200,0,1200,10200,19200,16800,14400,12000,9600,7200,4800,2400,0,1200,0,4200,1800,0,1200,0,1200,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,3000,4800,6600,8400,10200,12000,13800,15600,17400,19200,21000,22800,24600,26400,28200,25800,23400,21000,18600,24000,25800,32400,34200,36000,37800,39600,37200,34800,32400,30000,27600,25200,22800,20400,18000,19800,21600,23400,25200,27000,28800,30600,32400,34200,36000,37800,39600,41400,39600,41400,39600
0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,600,0,1200,600,0,1200,600,0,1200,600,0,1200,600,0,600,0,1200,600,600,0,1200,0,1200,0,1200,0,1200,5400,4200,3000,1800,600,0,1200,2400,3600,4800,6000,7200,8400,9600,10800,12000,13200,14400,15600,16800,18000,19200,20400,21600,22800,24000,25200,26400,27600,28800,30000,31200,32400,33600,34800,36000,37200,38400,39600,40800,37800,39000,40200,39600,40800,40200,39600,40800,40200,39600,40800,42600,44400,41400,38400,39600,40800,37800,39000,40200,37200,38400,39600,40800,37800,39000,40200,37200,38400,39600,40800,37800,39000,40200,37200,38400,39600,40800,37800,39000,40200,37200,38400,39600,40800,41400,38400
