t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,t100,t101,t102,t103,t104,t105,t106,t107,t108,t109,t110,t111,t112,t113,t114,t115,t116,t117,t118,t119,t120,t121,t122,t123,t124,t125,t126,t127,t128,t129,t130,t131,t132,t133,t134,t135,t136,t137,t138,t139,t140,t141,t142,t143
6000,7800,13800,15600,17400,14400,18000,21000,20400,27000,34800,41400,44400,47400,45600,51600,60600,58800,57600,64200,71400,79200,82800,90600,99000,108000,117000,118800,126600,125400,129000,138000,147000,156000,165000,174000,183000,192000,201000,210000,219000,218400,216000,213600,214800,223800,232800,231600,240000,246600,253800,253200,252000,249600,247200,245400,253800,253800,252600,258000,259200,261600,259800,267000,269400,273600,280800,289200,298200,303000,305400,306000,312600,315000,313800,321600,324600,331200,333000,341400,348600,355200,356400,354600,362400,366600,366600,370800,372600,381600,379200,381600,381000,385200,392400,391200,391200,393000,402000,405000,405600,408600,409200,412800,420000,422400,431400,436200,435000,439800,439200,442800,447000,449400,450000,452400,456000,461400,458400,466800,467400,464400,468000,475800,482400,490200,489600,493200,501000,505800,511200,519600,519000,524400,532800,535200,543600,546600,555000,552600,556200,561600,565800,564000
1200,6000,4800,4800,13800,16800,20400,19800,24000,24600,23400,32400,31200,39000,39000,37800,36600,35400,34200,33000,40800,43800,41400,49200,51600,50400,49200,57000,66000,75000,84000,93000,102000,111000,120000,129000,138000,147000,156000,165000,174000,174000,178800,179400,180000,187800,185400,191400,192000,198600,207600,216600,213600,214200,219600,216600,217200,219600,216600,214200,211200,208200,212400,211800,210600,211200,210600,208200,210600,209400,206400,203400,205200,211800,216000,213000,210000,207000,208800,205800,210000,211200,219000,225000,233400,230400,227400,226200,231000,228000,225000,224400,228000,225000,231600,235800,244200,241200,238200,235200,232200,238200,240600,237600,242400,251400,255000,252000,249000,246000,250200,247200,249600,247200,246600,252600,249600,246600,243600,246000,248400,246600,249000,253200,252600,255000,257400,262200,261000,258600,257400,256200,253200,250200,247200,245400,242400,240000,237000,234000,240000,237600,244800,241800
0,8400,5400,2400,0,3600,6600,3600,8400,5400,2400,0,0,3600,600,0,0,0,0,6000,3000,0,0,0,9000,18000,27000,36000,45000,54000,63000,72000,81000,90000,99000,108000,117000,126000,135000,144000,153000,151800,150600,155400,155400,153000,150600,148200,145800,144000,142200,140400,138600,136800,135600,142800,141600,140400,137400,134400,142200,139200,136200,133200,130200,128400,135600,132600,139200,136200,134400,131400,131400,135600,132600,129600,131400,137400,136200,142800,139800,139800,136800,139800,136800,133800,130800,133200,135600,140400,138600,135600,132600,129600,126600,124800,123000,121200,119400,126600,124800,123000,121200,119400,117600,115800,114000,112200,110400,108600,107400,109800,108000,106200,112800,111000,109200,107400,105600,103800,109800,108000,110400,107400,105600,114600,115200,115800,119400,123000,126600,124800,127200,126000,129600,127800,131400,129000,126000,123000,120000,117000,114000,123000
0,1200,2400,0,0,0,1800,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,1800,10800,19800,28800,37800,46800,55800,64800,73800,82800,91800,100800,109800,118800,127800,136800,145800,154800,163800,163800,168600,167400,176400,175800,177600,174600,171600,168600,168000,165000,162000,164400,161400,158400,155400,152400,153600,154800,156600,159000,160800,157800,154800,162600,164400,166200,168000,169800,177000,178800,180600,182400,184200,186000,194400,196200,198000,199800,197400,199200,205800,207600,209400,211200,213000,214800,216600,218400,220200,222000,223800,225600,234600,236400,244800,247800,256800,265200,267600,270000,272400,280200,282600,285000,292200,294600,297000,299400,301800,304200,306600,309000,311400,313800,310800,313200,315600,312600,315000,317400,319800,322200,324600,327000,329400,331200,333600,336000,342600,339600,336600,333600,330600,327600,334200,340200,337200,334200,334800,331800,328800,335400
0,0,0,0,0,0,1800,0,0,0,0,0,0,0,0,0,3000,10800,7800,4800,1800,0,0,9000,18000,27000,36000,45000,54000,63000,72000,81000,90000,99000,108000,117000,126000,135000,144000,153000,162000,162600,163200,163800,164400,165000,165600,166200,166800,163800,160800,157800,154800,151800,160800,160800,157800,154800,151800,148800,145800,142800,139800,136800,133800,130800,127800,124800,121800,118800,115800,118800,115800,112800,109800,106800,103800,100800,97800,94800,91800,88800,85800,82800,79800,85800,82800,79800,78000,76200,74400,72600,70800,69000,67200,65400,70800,67800,70200,67200,64200,61200,58200,55200,52200,58200,55200,52200,49200,46200,43200,40200,37200,44400,41400,38400,46800,43800,40800,37800,46800,43800,40800,37800,34800,31800,28800,25800,22800,19800,27000,24000,21000,18000,15000,12000,9000,10200,7200,4200,1200,10200,19200,28200
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,18000,27000,36000,45000,54000,63000,72000,81000,90000,99000,108000,117000,126000,135000,144000,153000,162000,171000,168000,168600,165600,162600,159600,156600,153600,150600,147600,148200,148800,149400,150000,150600,151200,151800,152400,153000,153600,154200,154800,155400,156000,156600,157200,163800,164400,165000,165600,166200,166200,166800,174600,175200,175800,184800,185400,186000,186600,187200,187800,188400,189000,189600,190200,190800,191400,192000,192600,193200,193800,194400,195000,195600,196200,196800,197400,198000,198600,199200,199800,200400,201000,201600,202200,202800,203400,204000,204600,205200,205800,206400,207000,204000,201000,198000,195000,192000,189000,186000,183000,180000,177000,174000,171000,168000,165000,169200,166200,163200,160200,157200,154200,151200,148200,145200,142200,139200,146400,143400,152400,161400,170400
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,1200,10200,19200,28200,37200,46200,55200,64200,73200,82200,91200,100200,109200,118200,127200,136200,145200,154200,163200,172200,174000,171000,168000,165000,162000,159000,156000,153000,160800,157800,154800,151800,148800,145800,142800,139800,136800,133800,130800,127800,124800,122400,120000,117600,115200,112800,110400,108000,105600,103200,100800,98400,96000,93600,91200,88800,86400,84000,81600,79200,80400,78000,79200,80400,78000,79200,80400,78000,79200,80400,78000,79200,80400,77400,85800,82800,79800,81000,78000,79200,80400,77400,78600,79800,81000,78000,79200,80400,77400,78600,75600,72600,69600,66600,63600,60600,57600,54600,51600,48600,45600,42600,39600,36600,33600,30600,27600,24600,21600,18600,15600,12600,9600,6600,3600,600,0,0,0,9000,18000,27000,36000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,6000,3000,0,0,0,0,0,0,9000,18000,27000,36000,45000,54000,63000,72000,81000,90000,99000,108000,117000,126000,135000,144000,153000,162000,160200,158400,156600,153600,150600,150000,147000,144000,141000,138000,135000,132000,129000,131400,128400,125400,128400,131400,134400,137400,140400,143400,146400,146400,146400,146400,146400,146400,146400,144600,142800,141000,147000,145200,143400,141600,139200,136800,134400,133200,130800,128400,126000,123600,121200,118800,116400,114000,111600,108600,106200,103800,100800,98400,96000,93000,97200,101400,98400,95400,92400,89400,86400,89400,86400,83400,80400,77400,76800,76200,73200,70200,67200,64200,61200,58200,55200,52200,49200,46200,43200,40200,37200,34200,31200,28200,25200,22200,19200,16200,13200,10200,7200,4200,1200,0,0,9000,18000,27000,36000,45000,54000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,600,0,0,0,0,0,9000,18000,27000,36000,45000,54000,63000,72000,81000,90000,99000,108000,117000,126000,135000,144000,153000,162000,169800,177600,174600,171600,168600,165600,162600,159600,156600,153600,150600,154800,151800,148800,145800,142800,139800,136800,133800,130800,127800,124800,121800,118800,115800,112800,109800,106800,103800,100800,97800,94800,93600,90600,87600,84600,81600,78600,81000,78000,80400,77400,79800,82200,79200,81600,78600,81000,78600,81000,78000,80400,77400,79800,82200,79200,81600,78600,81000,78000,80400,77400,79800,78600,81000,78000,80400,77400,79800,82200,79200,76200,81000,78000,75000,72000,69000,66000,63000,60000,57000,65400,62400,59400,56400,53400,50400,47400,44400,41400,38400,35400,32400,29400,26400,23400,20400,17400,14400,11400,8400,17400,26400,35400
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,18000,27000,36000,45000,54000,63000,72000,81000,90000,99000,108000,117000,126000,135000,144000,153000,162000,171000,169200,167400,165600,167400,164400,161400,158400,155400,152400,149400,146400,144600,142800,141000,139200,137400,136200,135000,133800,132600,131400,130200,129000,127200,125400,123600,121800,120000,127200,125400,123600,124800,123000,121200,119400,117600,115800,114000,111000,109200,107400,105600,103800,102000,100200,97200,94200,91200,88200,85200,82200,79200,76800,74400,72000,69600,67200,64800,62400,60000,57000,54000,51000,48000,45000,42000,39000,36000,33000,30000,27000,30600,27600,24600,21600,18600,15600,12600,9600,6600,3600,600,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,9000,18000,27000,36000,45000,54000
