t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,t100,t101,t102,t103,t104,t105,t106,t107,t108,t109,t110,t111,t112,t113,t114,t115,t116,t117,t118,t119,t120,t121,t122,t123,t124,t125,t126,t127,t128,t129,t130,t131,t132,t133,t134,t135,t136,t137,t138,t139,t140,t141,t142,t143
0,4200,7200,6000,14400,15600,14400,12600,17400,23400,20400,28200,28200,28200,35400,42600,44400,46200,52800,58200,64800,67800,70800,72000,74400,74400,71400,79800,78600,80400,80400,87000,88200,90000,93000,100200,104400,113400,122400,131400,140400,139200,136200,144600,151200,148800,151200,159600,161400,161400,169800,173400,182400,181800,181200,186600,185400,193800,193200,196200,198600,205800,211200,214800,211800,212400,213000,219000,220200,217200,222000,219600,219600,220800,228600,234000,241200,246000,247800,255000,259200,262800,269400,267600,274800,276000,280800,285000,288600,285600,289200,296400,302400,307800,307800,307800,315600,319200,328200,334800,334800,332400,339600,344400,352800,353400,354000,362400,360600,364800,372600,378600,378000,384600,389400,397200,396000,393000,390000,391800,397200,405600,402600,403800,402000,407400,405600,412200,411600,412200,417600,421800,430200,433200,439800,446400,454200,457200,458400,461400,463800,471000,473400,471000
0,1200,3000,0,8400,8400,8400,15000,22800,22800,27600,27600,27600,26400,33600,32400,32400,32400,29400,26400,27600,27000,30000,27000,24600,22200,21000,21600,24600,21600,27000,24000,21000,30000,39000,48000,57000,66000,75000,84000,93000,100800,103800,103200,102000,105600,103200,107400,105000,102600,106200,106200,106200,106200,105000,103800,102600,108000,106800,109200,111600,111600,108600,108600,109200,118200,124200,124200,133200,133200,133200,134400,135600,135600,139800,146400,153600,151200,152400,153600,153600,154800,157200,165000,163200,160800,162000,162000,161400,161400,161400,163800,163200,160800,160800,168600,168600,168600,168600,168600,168600,168600,166800,172200,172200,171600,171600,171600,173400,170400,171600,171600,171600,171600,171600,171600,171600,171600,171600,174000,174000,174000,174000,174000,174000,181200,187800,191400,194400,194400,201600,201600,207600,206400,206400,211200,219600,219600,219000,218400,225000,226200,232800,239400
7800,5400,2400,0,0,0,0,0,0,0,0,0,0,0,0,4200,1800,0,0,0,0,7800,7800,16800,14400,12000,9600,7200,6600,12600,10200,19200,28200,37200,46200,55200,64200,73200,82200,91200,100200,100200,97800,95400,100800,98400,96000,93600,94800,94800,91800,93000,99000,100200,105600,111000,116400,121800,120600,121200,129000,134400,137400,136200,144000,148800,150000,155400,160800,166200,171600,177000,182400,185400,182400,186000,194400,191400,188400,185400,186600,183600,180600,177600,174600,171600,168600,165600,162600,168000,165000,162000,159000,164400,161400,166200,163800,161400,170400,171000,176400,174000,179400,184800,190200,195600,201000,205800,209400,207000,206400,211800,220200,222000,219600,217200,214800,212400,215400,213000,210600,208200,207600,207600,207600,205200,202800,200400,209400,207000,204600,202200,199800,205200,212400,213600,219600,224400,233400,234600,232800,236400,237600,234600
0,0,0,0,0,7800,5400,3000,600,0,0,0,0,0,0,0,0,0,0,0,0,7200,4800,13800,11400,9000,6600,4200,1800,0,9000,18000,27000,36000,45000,54000,63000,72000,81000,90000,99000,106200,112800,109800,106800,103800,103200,102600,102000,102000,109800,109200,109200,106800,104400,103200,101400,99600,97800,102000,100200,98400,107400,105600,103800,101400,99000,106800,104400,102000,99600,97200,96000,93600,92400,90600,88200,85800,92400,90000,87600,90600,88800,96600,94200,91800,89400,90600,88200,85800,83400,81000,78600,76800,75000,73200,71400,69600,67800,66000,64200,62400,60600,60600,58800,57000,55200,53400,60600,58800,57000,57000,55800,56400,57000,57600,64800,65400,66000,66600,67200,67800,68400,69000,69600,70200,76200,76800,77400,76200,75600,76200,76800,83400,82200,84600,83400,91800,90600,89400,88200,87000,85800,84600
0,0,0,0,0,0,0,0,0,0,0,9000,6600,4200,1800,600,0,0,0,0,0,0,0,0,0,1800,1200,0,0,9000,18000,27000,36000,45000,54000,63000,72000,81000,90000,99000,108000,106200,104400,103200,101400,99600,97800,96000,94200,92400,90600,91200,91800,92400,93000,93600,94200,97200,97800,98400,106200,108600,109200,109800,110400,111000,111600,112200,112800,113400,121800,122400,123000,123600,124200,124800,125400,126000,126600,127200,126000,124800,123600,122400,121200,123600,122400,121200,120000,118800,117600,116400,115200,114000,118200,117000,115800,114600,113400,112200,111000,109800,108600,107400,106200,105000,103800,102600,101400,100200,99000,97800,96600,95400,94200,93000,91800,99000,97800,104400,103200,102000,100800,99000,96000,93000,90000,87000,92400,89400,86400,83400,80400,77400,74400,71400,68400,65400,62400,59400,56400,53400,50400,47400
0,9000,6600,4200,1800,0,0,0,0,0,0,0,0,0,0,0,0,3000,600,0,0,0,0,0,0,0,0,0,2400,11400,20400,29400,38400,47400,56400,65400,74400,83400,92400,101400,110400,111600,112800,114000,115200,116400,117600,115200,112800,110400,108000,106200,104400,102600,100800,103800,102600,101400,104400,107400,110400,113400,116400,119400,122400,125400,128400,131400,134400,132600,135600,138600,141600,144600,147600,150600,153600,156600,159600,163800,166800,166800,169800,172800,171000,174000,177000,180000,183000,186000,189000,195600,198600,201600,204600,207600,205200,202800,200400,205800,203400,201000,198600,196200,197400,198600,199800,201000,202200,203400,208200,209400,210600,213000,219600,220800,222000,223200,224400,225600,226800,232200,233400,231600,232800,234000,235200,236400,237600,239400,240600,241800,243000,244200,245400,246600,247800,249000,250200,251400,251400,252600,253800,255000
0,0,0,0,0,0,0,0,0,0,0,0,0,4200,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,18000,27000,36000,45000,54000,63000,72000,81000,90000,99000,108000,117000,114600,112200,109800,107400,105000,102600,100200,97800,95400,93000,90600,90000,89400,88800,88200,87600,94200,93600,93000,92400,91800,91200,90600,90000,89400,88800,88200,87600,87000,86400,85800,85200,84600,84000,83400,85800,85200,84600,84000,83400,82800,82200,81600,81000,90000,89400,88800,88200,87600,87000,86400,85800,85200,84600,84000,83400,82800,82200,81600,79200,76800,78000,75600,75600,73200,76800,74400,72600,81600,78600,76200,74400,72000,71400,69000,67200,64800,63600,61200,60000,57600,55200,52800,49800,47400,54000,51600,48600,46200,43800,41400,38400,36000,33600,31200,28800,26400,24000,21600,19200,16800,14400
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7800,8400,9000,9600,10200,10800,19800,28800,37800,46800,55800,64800,73800,82800,91800,100800,109800,118800,115800,112800,111000,108000,105000,102000,99000,96000,93000,90000,87000,91800,88800,85800,82800,79800,76800,73800,70800,67800,64800,61800,58800,55800,52800,49800,46800,43800,40800,37800,34800,31800,28800,25800,22800,19800,16800,13800,12000,10200,8400,6600,4800,3000,1200,0,0,0,5400,3600,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,0,0,0,600
2400,0,0,0,0,0,0,0,0,0,0,0,0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,1800,1200,600,9600,18600,27600,36600,45600,54600,63600,72600,69600,67800,64800,61800,58800,55800,52800,49800,46800,43800,40800,37800,37200,36600,36000,35400,34800,34200,40800,37800,37200,36600,36000,35400,34800,34200,33600,33000,32400,31800,31200,30600,30000,29400,36000,35400,34800,34200,33600,33000,32400,31800,31200,30600,30000,29400,28800,28200,27600,27000,26400,25800,29400,28800,28200,27600,27000,26400,28800,31200,40200,37200,36600,36000,35400,34800,34200,33600,33000,32400,31800,31200,30600,30000,29400,28800,28200,27600,27000,26400,25800,32400,31800,31200,30600,30000,29400,28800,28200,27600,27000,26400,25800,25200,24600,24000,23400,22800,22200,21600,21000,20400
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,11400,20400,29400,38400,47400,56400,55200,54000,51000,48000,45000,42000,39000,36000,33000,30000,27000,26400,25800,25200,24600,24000,26400,25800,25200,24600,27000,26400,25800,25200,31800,31200,30600,30000,32400,34800,37200,39600,42000,45000,42600,40200,37800,40200,44400,42000,39600,42000,39600,42000,39600,42000,43200,44400,45600,46800,48000,49200,50400,51600,52800,54000,55200,60000,64800,61800,58800,55800,52800,49800,46800,43800,40800,37800,40200,37200,36600,36000,35400,34800,34200,33600,33000,33600,33000,32400,36600,42600,47400,52200,57000,54000,58800,63600,68400,73200,78000,82800,87600,86400,83400,80400,77400,75600,72600,69600,66600,63600,60600
