t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,t100,t101,t102,t103,t104,t105,t106,t107,t108,t109,t110,t111,t112,t113,t114,t115,t116,t117,t118,t119,t120,t121,t122,t123,t124,t125,t126,t127,t128,t129,t130,t131,t132,t133,t134,t135,t136,t137,t138,t139,t140,t141,t142,t143
4800,4200,9000,6600,9600,12000,15600,21600,27000,32400,29400,30000,34200,34200,33600,39000,40200,39600,43200,52200,55800,63000,66600,64800,71400,72000,73800,82800,91800,100800,109800,118800,127800,136800,145800,154800,163800,172800,181800,190800,199800,201600,204600,210600,209400,211800,211800,211800,212400,210600,213000,216000,219600,219600,228000,225000,225600,227400,234000,240600,239400,243000,245400,252600,259800,264600,267600,267000,265800,274200,277200,286200,293400,295200,299400,302400,303600,307800,306600,305400,312000,312000,315600,315000,324000,331800,336000,336600,345000,351000,359400,358200,355200,362400,364800,366600,366600,371400,369000,374400,377400,386400,389400,397800,406800,411600,411600,418800,427800,426600,435000,438000,438000,440400,448200,450600,458400,466200,470400,474600,477000,483600,487200,492000,495000,493800,496200,496200,503400,508800,507000,505200,513600,516600,514800,523800,520800,525600,524400,521400,519000,521400,526800,525600
3600,7200,9000,16200,17400,17400,22800,31800,29400,27600,35400,33600,39600,40200,46800,50400,58200,61800,63600,63600,66600,72000,76800,75600,73200,75000,72600,81600,90600,99600,108600,117600,126600,135600,144600,153600,162600,171600,180600,189600,198600,196200,199800,205200,211800,217200,217800,223200,228000,233400,237600,243000,241200,243000,246600,252600,258600,259800,260400,262800,266400,271800,276000,274800,273000,273000,274800,279600,282600,289800,293400,301200,307800,316800,314400,313800,311400,311400,310800,310200,314400,319200,324000,323400,321600,326400,330600,333600,340800,348000,347400,353400,356400,357600,359400,357600,364800,366000,371400,370800,376800,375600,375000,372000,371400,375000,372600,381000,378000,386400,390600,391200,393000,397200,402600,408000,415200,418800,423000,423000,429000,430200,436200,445200,454200,461400,466800,469200,474600,481800,486000,493800,502800,511800,512400,511200,510000,511800,513600,522600,528000,528600,534600,540600
6000,15000,19200,19800,27000,28800,31200,36600,43200,40800,39000,44400,41400,50400,49200,54600,56400,54000,58800,55800,53400,54600,54000,63000,68400,77400,81600,90600,99600,108600,117600,126600,135600,144600,153600,162600,171600,180600,189600,198600,207600,213000,219600,220200,226800,229200,234600,240600,246000,253200,259800,266400,265200,265800,274800,282000,286200,291000,294600,297000,303000,305400,313800,318600,324000,331800,339000,342000,340200,338400,337800,340200,345600,349800,351000,356400,363000,364800,373800,375000,382200,387600,393000,391200,388200,385800,389400,386400,393600,397200,403200,405000,412800,418800,417000,414000,419400,419400,416400,415200,416400,413400,418800,423600,426600,424200,424200,423600,429600,435000,444000,446400,443400,441600,441600,441000,439200,441600,444600,442200,444000,451200,456600,456600,459000,460800,465000,472200,476400,483000,488400,487200,490200,495600,496200,504600,502800,508200,513600,522000,527400,528600,529200,535800
6600,7200,14400,15600,13800,19800,26400,25800,27000,31800,39000,40800,42600,48000,49800,55200,52800,58200,60600,66000,69000,66600,69600,78000,77400,79800,83400,88800,97800,106800,115800,124800,133800,142800,151800,160800,169800,178800,187800,196800,205800,204000,205200,213000,211800,219000,218400,225600,228600,227400,229800,228000,233400,239400,243000,248400,256200,259200,265800,267600,273600,279600,285000,292800,295800,293400,295200,303000,303600,309000,316800,322200,327000,332400,337800,342600,344400,344400,348600,357000,361200,366600,368400,372000,376200,384000,391200,399600,397200,402600,404400,410400,414000,420600,426600,432000,437400,439200,436200,438000,442200,451200,449400,456600,462000,462000,465000,462600,469800,477000,483000,487200,490200,492000,493800,494400,501000,508200,509400,510000,510000,507600,513000,518400,521400,523200,522600,531000,534000,532800,535800,539400,545400,550800,556200,555600,561000,564600,564000,566400,568800,576600,585000,594000
6000,10200,7800,11400,12600,18600,17400,18600,27000,33600,41400,38400,43200,49200,55200,53400,50400,48600,50400,50400,57000,55200,61200,63000,66000,74400,75600,84600,93600,102600,111600,120600,129600,138600,147600,156600,165600,174600,183600,192600,201600,207600,213600,221400,227400,231000,235800,236400,234000,233400,235800,241800,247800,253800,258000,263400,269400,271200,270600,268200,276600,276600,285600,291600,298200,303000,307800,304800,303000,304200,308400,314400,320400,326400,325200,329400,336600,342600,347400,352200,358200,355200,361200,364200,366600,375600,381600,387600,388800,393000,397200,403800,401400,406200,415200,421200,426600,432000,436800,434400,440400,446400,444600,450600,453000,459000,465000,463800,462600,465600,471000,474600,480600,484200,481200,482400,480600,487200,491400,495000,499200,502200,505200,511200,510600,516000,520200,529200,527400,531600,538800,544800,546000,548400,550200,556200,564000,567600,570000,576600,583200,589200,595200,601200
1200,4200,3600,2400,600,1200,0,6600,13800,15600,15000,16200,16200,13200,13800,21000,18000,15000,12000,12600,19800,16800,13800,21600,30600,39600,48600,57600,66600,75600,84600,93600,102600,111600,120600,129600,138600,147600,156600,165600,174600,171600,178800,180600,183000,186000,189600,186600,195000,201000,207000,211200,211800,208800,213600,215400,217200,214200,211200,216000,217800,214800,212400,216000,219600,228000,225000,229800,238800,244800,244800,247800,252600,252000,255000,252000,249000,253200,250200,254400,259200,256800,259200,258600,257400,259800,262200,259200,266400,263400,260400,268800,267600,264600,264000,271800,270600,268200,274800,271800,274200,280200,277200,279000,286800,293400,290400,298800,295800,304800,312000,313800,310800,316800,315000,315600,324600,332400,340800,337800,344400,346800,343800,349800,348000,353400,355800,359400,368400,365400,364200,369600,376800,382800,379800,376800,381600,378600,376800,379800,384000,381000,378000,382800
0,0,1200,0,1800,7200,6000,6600,13800,18600,17400,20400,28200,34200,38400,42000,40800,42600,41400,43200,42000,40800,46200,47400,51000,48600,57600,66600,75600,84600,93600,102600,111600,120600,129600,138600,147600,156600,165600,174600,183000,180600,177600,177600,180000,179400,177000,174600,176400,174000,171600,180600,187200,184200,183600,181200,184800,182400,188400,197400,195000,202200,199800,205200,202800,200400,198000,196800,202800,205800,209400,210600,210000,209400,217200,214200,212400,210000,214800,222600,229200,233400,233400,236400,234000,233400,237600,239400,246000,243600,241200,238800,238200,246000,244800,249000,249600,256800,254400,261600,265200,264600,264600,272400,270000,267600,269400,272400,276000,273600,270600,269400,268800,277800,286800,284400,283800,281400,286200,291000,292800,297600,295200,294000,292800,293400,291000,291600,291000,289200,296400,301200,299400,300600,298800,296400,299400,303000,305400,302400,300000,297600,302400,311400
7800,5400,13200,13200,12000,10800,13200,16800,24000,22800,21600,21000,24600,23400,32400,31200,29400,28200,27000,35400,34200,33000,31800,30600,29400,38400,47400,56400,65400,74400,83400,92400,101400,110400,119400,128400,137400,146400,155400,164400,173400,179400,180000,180000,177000,174000,183000,187800,187200,189000,193200,190200,187200,190200,187200,195000,197400,194400,195600,192600,189600,195600,192600,189600,186600,192000,189000,189600,186600,190200,192000,189000,186000,183000,184200,191400,189600,196200,193200,190200,189000,186000,190800,188400,189000,193200,193200,201600,209400,206400,203400,208200,205200,202200,208800,205800,208200,210000,216600,216600,214800,218400,217800,220800,221400,218400,217200,221400,230400,231000,228000,234000,234600,242400,239400,236400,241800,249000,246000,245400,242400,251400,253200,258600,256800,256200,265200,265200,264600,268800,265800,267600,269400,269400,268200,267000,276000,277800,280800,282600,284400,290400,296400,298200
1200,3600,2400,1200,7800,13200,12000,10800,9600,8400,7200,11400,10200,9000,7800,12000,10800,19200,18000,26400,27600,25800,25800,23400,32400,41400,50400,59400,68400,77400,86400,95400,104400,113400,122400,131400,140400,149400,158400,167400,176400,175200,172200,174000,171000,169200,166200,163800,160800,165000,174000,177000,181200,180000,182400,181800,180000,188400,193200,196200,195000,193800,193800,202200,211200,210600,210600,209400,208200,207000,207000,205800,207600,205200,204000,207000,205800,205200,211200,210000,208800,214200,213000,216600,217800,216000,220800,226800,223800,226200,228000,229800,228600,227400,226200,223200,225000,229200,237000,243600,241800,240600,241800,241800,247200,246000,243600,242400,241200,247800,253200,258600,257400,254400,261600,259200,258000,262200,266400,270600,268800,268200,271800,274200,271800,279000,281400,290400,292800,293400,294000,300600,305400,314400,321000,323400,325800,328200,330600,333000,337200,335400,341400,346800
6600,15600,14400,17400,16200,15000,13200,18600,19800,17400,16800,19800,18600,24000,27600,31800,39600,38400,40800,40200,46800,49200,47400,50400,58200,56400,63600,72600,81600,90600,99600,108600,117600,126600,135600,144600,153600,162600,171600,180600,189600,194400,193200,196800,196200,195000,193800,201600,199200,205200,213000,217200,225000,231600,229800,232200,237000,244800,249600,257400,265200,267000,276000,276600,274800,282000,288000,292800,300600,308400,316200,324000,331800,339600,347400,349800,351600,349200,357000,364800,361800,360000,361200,370200,369000,366000,372000,369000,366000,363600,360600,366000,367200,376200,376800,379800,381000,378000,375000,376200,373200,370200,375000,372000,370800,367800,376200,373200,370200,367200,367800,376200,380400,377400,374400,371400,373800,370800,379800,376800,377400,381000,378000,377400,379800,388800,388200,388800,388200,391200,395400,396600,401400,406200,408000,417000,417000,416400,424200,430200,435600,437400,444000,449400
