t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,t100,t101,t102,t103,t104,t105,t106,t107,t108,t109,t110,t111,t112,t113,t114,t115,t116,t117,t118,t119,t120,t121,t122,t123,t124,t125,t126,t127,t128,t129,t130,t131,t132,t133,t134,t135,t136,t137,t138,t139,t140,t141,t142,t143,t144,t145,t146,t147,t148,t149,t150,t151,t152,t153,t154,t155,t156,t157,t158,t159,t160,t161,t162,t163,t164,t165,t166,t167,t168,t169,t170,t171,t172,t173,t174,t175,t176,t177,t178,t179,t180,t181,t182,t183,t184,t185,t186,t187,t188,t189,t190,t191,t192,t193,t194,t195,t196,t197,t198,t199,t200,t201,t202,t203,t204,t205,t206,t207,t208,t209,t210,t211,t212,t213,t214,t215,t216,t217,t218,t219,t220,t221,t222,t223,t224,t225,t226,t227,t228,t229,t230,t231,t232,t233,t234,t235,t236,t237,t238,t239,t240,t241,t242,t243,t244,t245,t246,t247,t248,t249,t250,t251,t252,t253,t254,t255,t256,t257,t258,t259,t260,t261,t262,t263,t264,t265,t266,t267,t268,t269,t270,t271,t272,t273,t274,t275,t276,t277,t278,t279,t280,t281,t282,t283,t284,t285,t286,t287,t288,t289,t290,t291,t292,t293,t294,t295,t296,t297,t298,t299,t300,t301,t302,t303,t304,t305,t306,t307,t308,t309,t310,t311,t312,t313,t314,t315,t316,t317,t318,t319,t320,t321,t322,t323,t324,t325,t326,t327,t328,t329,t330,t331,t332,t333,t334,t335,t336,t337,t338,t339,t340,t341,t342,t343,t344,t345,t346,t347,t348,t349,t350,t351,t352,t353,t354,t355,t356,t357,t358,t359,t360,t361,t362,t363,t364,t365,t366,t367,t368,t369,t370,t371,t372,t373,t374,t375,t376,t377,t378,t379,t380,t381,t382,t383,t384,t385,t386,t387,t388,t389,t390,t391,t392,t393,t394,t395,t396,t397,t398,t399,t400,t401,t402,t403,t404,t405,t406,t407,t408,t409,t410,t411,t412,t413,t414,t415,t416,t417,t418,t419,t420,t421,t422,t423,t424,t425,t426,t427,t428,t429,t430,t431,t432,t433,t434,t435,t436,t437,t438,t439,t440,t441,t442,t443,t444,t445,t446,t447,t448,t449,t450,t451,t452,t453,t454,t455,t456,t457,t458,t459,t460,t461,t462,t463,t464,t465,t466,t467,t468,t469,t470,t471,t472,t473,t474,t475,t476,t477,t478,t479,t480,t481,t482,t483,t484,t485,t486,t487,t488,t489,t490,t491,t492,t493,t494,t495,t496,t497,t498,t499,t500,t501,t502,t503,t504,t505,t506,t507,t508,t509,t510,t511,t512,t513,t514,t515,t516,t517,t518,t519,t520,t521,t522,t523,t524,t525,t526,t527,t528,t529,t530,t531,t532,t533,t534,t535,t536,t537,t538,t539,t540,t541,t542,t543,t544,t545,t546,t547,t548,t549,t550,t551,t552,t553,t554,t555,t556,t557,t558,t559,t560,t561,t562,t563,t564,t565,t566,t567,t568,t569,t570,t571,t572,t573,t574,t575,t576,t577,t578,t579,t580,t581,t582,t583,t584,t585,t586,t587,t588,t589,t590,t591,t592,t593,t594,t595,t596,t597,t598,t599,t600,t601,t602,t603,t604,t605,t606,t607,t608,t609,t610,t611,t612,t613,t614,t615,t616,t617,t618,t619,t620,t621,t622,t623,t624,t625,t626,t627,t628,t629,t630,t631,t632,t633,t634,t635,t636,t637,t638,t639,t640,t641,t642,t643,t644,t645,t646,t647,t648,t649,t650,t651,t652,t653,t654,t655,t656,t657,t658,t659,t660,t661,t662,t663,t664,t665,t666,t667,t668,t669,t670,t671,t672,t673,t674,t675,t676,t677,t678,t679,t680,t681,t682,t683,t684,t685,t686,t687,t688,t689,t690,t691,t692,t693,t694,t695,t696,t697,t698,t699,t700,t701,t702,t703,t704,t705,t706,t707,t708,t709,t710,t711,t712,t713,t714,t715,t716,t717,t718,t719,t720,t721,t722,t723,t724,t725,t726,t727,t728,t729,t730,t731,t732,t733,t734,t735,t736,t737,t738,t739,t740,t741,t742,t743,t744,t745,t746,t747,t748,t749,t750,t751,t752,t753,t754,t755,t756,t757,t758,t759,t760,t761,t762,t763,t764,t765,t766,t767,t768,t769,t770,t771,t772,t773,t774,t775,t776,t777,t778,t779,t780,t781,t782,t783,t784,t785,t786,t787,t788,t789,t790,t791,t792,t793,t794,t795,t796,t797,t798,t799,t800,t801,t802,t803,t804,t805,t806,t807,t808,t809,t810,t811,t812,t813,t814,t815,t816,t817,t818,t819,t820,t821,t822,t823,t824,t825,t826,t827,t828,t829,t830,t831,t832,t833,t834,t835,t836,t837,t838,t839,t840,t841,t842,t843,t844,t845,t846,t847,t848,t849,t850,t851,t852,t853,t854,t855,t856,t857,t858,t859,t860,t861,t862,t863,t864,t865,t866,t867,t868,t869,t870,t871,t872,t873,t874,t875,t876,t877,t878,t879,t880,t881,t882,t883,t884,t885,t886,t887,t888,t889,t890,t891,t892,t893,t894,t895,t896,t897,t898,t899,t900,t901,t902,t903,t904,t905,t906,t907,t908,t909,t910,t911,t912,t913,t914,t915,t916,t917,t918,t919,t920,t921,t922,t923,t924,t925,t926,t927,t928,t929,t930,t931,t932,t933,t934,t935,t936,t937,t938,t939,t940,t941,t942,t943,t944,t945,t946,t947,t948,t949,t950,t951,t952,t953,t954,t955,t956,t957,t958,t959,t960,t961,t962,t963,t964,t965,t966,t967,t968,t969,t970,t971,t972,t973,t974,t975,t976,t977,t978,t979,t980,t981,t982,t983,t984,t985,t986,t987,t988,t989,t990,t991,t992,t993,t994,t995,t996,t997,t998,t999,t1000,t1001,t1002,t1003,t1004,t1005,t1006,t1007,t1008,t1009,t1010,t1011,t1012,t1013,t1014,t1015,t1016,t1017,t1018,t1019,t1020,t1021,t1022,t1023,t1024,t1025,t1026,t1027,t1028,t1029,t1030,t1031,t1032,t1033,t1034,t1035,t1036,t1037,t1038,t1039,t1040,t1041,t1042,t1043,t1044,t1045,t1046,t1047,t1048,t1049,t1050,t1051,t1052,t1053,t1054,t1055,t1056,t1057,t1058,t1059,t1060,t1061,t1062,t1063,t1064,t1065,t1066,t1067,t1068,t1069,t1070,t1071,t1072,t1073,t1074,t1075,t1076,t1077,t1078,t1079,t1080,t1081,t1082,t1083,t1084,t1085,t1086,t1087,t1088,t1089,t1090,t1091,t1092,t1093,t1094,t1095,t1096,t1097,t1098,t1099,t1100,t1101,t1102,t1103,t1104,t1105,t1106,t1107,t1108,t1109,t1110,t1111,t1112,t1113,t1114,t1115,t1116,t1117,t1118,t1119,t1120,t1121,t1122,t1123,t1124,t1125,t1126,t1127,t1128,t1129,t1130,t1131,t1132,t1133,t1134,t1135,t1136,t1137,t1138,t1139,t1140,t1141,t1142,t1143,t1144,t1145,t1146,t1147,t1148,t1149,t1150,t1151,t1152,t1153,t1154,t1155,t1156,t1157,t1158,t1159,t1160,t1161,t1162,t1163,t1164,t1165,t1166,t1167,t1168,t1169,t1170,t1171,t1172,t1173,t1174,t1175,t1176,t1177,t1178,t1179,t1180,t1181,t1182,t1183,t1184,t1185,t1186,t1187,t1188,t1189,t1190,t1191,t1192,t1193,t1194,t1195,t1196,t1197,t1198,t1199,t1200,t1201,t1202,t1203,t1204,t1205,t1206,t1207,t1208,t1209,t1210,t1211,t1212,t1213,t1214,t1215,t1216,t1217,t1218,t1219,t1220,t1221,t1222,t1223,t1224,t1225,t1226,t1227,t1228,t1229,t1230,t1231,t1232,t1233,t1234,t1235,t1236,t1237,t1238,t1239,t1240,t1241,t1242,t1243,t1244,t1245,t1246,t1247,t1248,t1249,t1250,t1251,t1252,t1253,t1254,t1255,t1256,t1257,t1258,t1259,t1260,t1261,t1262,t1263,t1264,t1265,t1266,t1267,t1268,t1269,t1270,t1271,t1272,t1273,t1274,t1275,t1276,t1277,t1278,t1279,t1280,t1281,t1282,t1283,t1284,t1285,t1286,t1287,t1288,t1289,t1290,t1291,t1292,t1293,t1294,t1295,t1296,t1297,t1298,t1299,t1300,t1301,t1302,t1303,t1304,t1305,t1306,t1307,t1308,t1309,t1310,t1311,t1312,t1313,t1314,t1315,t1316,t1317,t1318,t1319,t1320,t1321,t1322,t1323,t1324,t1325,t1326,t1327,t1328,t1329,t1330,t1331,t1332,t1333,t1334,t1335,t1336,t1337,t1338,t1339,t1340,t1341,t1342,t1343,t1344,t1345,t1346,t1347,t1348,t1349,t1350,t1351,t1352,t1353,t1354,t1355,t1356,t1357,t1358,t1359,t1360,t1361,t1362,t1363,t1364,t1365,t1366,t1367,t1368,t1369,t1370,t1371,t1372,t1373,t1374,t1375,t1376,t1377,t1378,t1379,t1380,t1381,t1382,t1383,t1384,t1385,t1386,t1387,t1388,t1389,t1390,t1391,t1392,t1393,t1394,t1395,t1396,t1397,t1398,t1399,t1400,t1401,t1402,t1403,t1404,t1405,t1406,t1407,t1408,t1409,t1410,t1411,t1412,t1413,t1414,t1415,t1416,t1417,t1418,t1419,t1420,t1421,t1422,t1423,t1424,t1425,t1426,t1427,t1428,t1429,t1430,t1431,t1432,t1433,t1434,t1435,t1436,t1437,t1438,t1439
480,1260,1080,1500,2040,2040,1800,1860,2460,2400,2940,3240,3420,4320,4200,4980,4920,4620,5340,6120,6720,7620,8460,8280,8580,9000,8700,8580,8580,9420,9120,10020,9900,10020,10860,10740,11160,11640,11580,12060,12240,12600,12600,13260,13320,13380,13440,14280,14580,14580,15060,15840,16260,16800,17100,16980,17520,18000,18480,18540,18300,19020,19200,19680,20160,20940,21840,22620,23340,24000,23820,24720,25020,24840,24960,25860,26400,26820,26580,26880,26760,27420,27300,27720,27960,27840,28020,28680,29340,29160,29640,29340,29940,30060,30480,31140,31800,31560,32460,33360,33960,34020,34740,34800,35460,36120,36660,37020,37020,37140,37920,38820,39720,40260,40740,40440,40380,40320,40380,40200,40980,41580,41880,42540,42540,43260,43200,43320,44220,44700,45540,46320,46800,47700,47520,47220,47160,47460,47880,48300,48960,48720,49200,49800,49800,49620,49800,50640,51420,52140,52740,53160,53940,53820,53520,53580,53280,53700,54540,55260,55740,56640,57360,57840,58320,58020,58020,57840,57960,58560,58320,58680,59100,59820,60000,59700,59820,60420,60240,59940,60000,60000,59760,60600,60720,61080,61140,62040,61980,62580,62400,62940,63840,64740,65640,66540,67440,68340,69240,70140,71040,71940,72840,73740,74640,75540,76440,77340,78240,79140,80040,80940,81840,82740,83640,84540,85440,86340,87240,88140,89040,89940,90840,91740,92640,93540,94440,95340,96240,97140,98040,98940,99840,100740,101640,102540,103440,104340,105240,106140,107040,107940,108840,109740,110640,111540,112440,113340,114240,115140,116040,116940,117840,118740,119640,120540,121440,122340,123240,124140,125040,125940,126840,127740,128640,129540,130440,131340,132240,133140,134040,134940,135840,136740,137640,138540,139440,140340,141240,142140,143040,143940,144840,145740,146640,147540,148440,149340,150240,151140,152040,152940,153840,154740,155640,156540,157440,158340,159240,160140,161040,161940,162840,163740,164640,165540,166440,167340,168240,169140,170040,170940,171840,172740,173640,174540,175440,176340,177240,178140,179040,179940,180840,181740,182640,183540,184440,185340,186240,187140,188040,188940,189840,190740,191640,192540,193440,194340,195240,196140,197040,197940,198840,199740,200640,201540,202440,203340,204240,205140,206040,206940,207840,208740,209640,210540,211440,212340,213240,214140,215040,215940,216840,217740,218640,219540,220440,221340,222240,223140,224040,224940,225840,226740,227640,228540,229440,230340,231240,232140,233040,233940,234840,235740,236640,237540,238440,239340,240240,241140,242040,242940,243840,244740,245640,246540,247440,248340,249240,250140,250920,251820,252600,253500,254160,254040,254580,255480,255300,255600,255900,255900,255960,255780,256380,256920,257700,258000,258420,258360,258600,258480,259380,259200,260100,259800,259920,259620,259980,260520,260400,260160,260220,261000,261900,262080,262080,262620,262920,262860,262620,263280,263640,264300,264780,264960,265800,266340,266520,266940,267540,268140,267960,267720,268200,268920,269340,270240,270540,270300,270480,270420,270420,270960,271260,272160,273000,273840,274380,274080,274200,274140,274440,274560,275220,275220,275220,275400,275880,276600,276660,276960,277620,277860,278040,277800,277500,277800,278640,279060,279300,279420,280140,280200,281100,281820,282300,282420,283260,283020,282900,282960,283500,283260,283500,283260,284160,283860,283980,283860,283560,284220,284280,284880,285360,285660,285420,285960,286200,286320,286020,286800,287160,287940,287700,287700,288300,288540,289440,289920,289680,290220,290100,290280,290220,290460,290640,291360,292020,292440,292500,292260,292800,293640,294420,294240,294240,295080,295140,295980,295680,296220,297120,297120,297240,296940,297720,297960,298080,297900,298380,299160,299640,299400,299520,299820,300300,300780,301320,301560,302400,302280,302640,302340,302340,303000,303720,303720,304200,304560,304500,305400,305520,305220,305820,305880,305580,305400,305820,305820,305580,306000,306300,306900,306780,307020,306720,306660,307020,307140,307140,307020,307500,308340,308700,309180,308940,309180,309600,310320,310800,311040,311940,312600,313020,313320,313680,313620,314460,314640,315060,314880,314640,315420,316320,316080,316260,316140,316800,316500,316320,316680,316560,316500,316680,316740,317340,317340,317820,318000,318660,319140,319680,320400,320880,320820,320580,321360,321720,322440,322440,323160,323580,323700,324300,324660,324840,325500,325980,326880,326760,327120,327900,327960,328140,328680,328380,329220,329100,329040,329580,330480,330420,330720,330420,330420,330720,330600,330840,331500,331260,331260,331140,331020,331080,331860,331740,331740,332520,332760,332940,333540,334020,334380,334560,335040,334860,335040,334980,334680,335340,335160,334980,334800,334860,335160,335280,335040,335220,335640,336420,337200,337320,337440,337260,337980,338040,337920,337920,338700,338580,338280,338760,339600,339360,339900,339960,340080,339960,340560,340740,340500,340800,340800,340800,340800,341340,341400,342120,341820,342540,342900,343140,344040,343800,343680,344460,344400,345060,344820,345060,345960,346500,347280,347520,348420,348120,347880,348120,348720,348540,348900,349200,349860,349560,349440,349200,349380,350220,351060,351060,351060,351540,352140,352080,352260,352680,353580,353640,353580,353340,354060,354480,354360,355080,355980,356760,357180,357600,357900,357720,358260,358440,358140,358320,358020,357720,358500,359280,359940,359760,360300,360420,360960,360840,361500,361320,361740,362400,362340,363000,363660,364380,364920,365700,365400,365580,365940,365820,366600,367200,367500,368160,368100,367920,368640,368940,369840,369720,370500,371160,371160,371100,371280,371880,372240,372180,372300,372120,371940,371820,372180,372480,373080,372900,373260,373860,374760,374760,374700,374580,374400,374340,374820,375600,375960,376800,376680,376980,376920,377280,377940,378660,378360,379020,379920,380400,380340,380820,380880,380700,380820,380880,380880,381660,381780,381600,381660,382200,382440,383280,383820,383880,383700,383940,384180,384060,384480,385140,384960,385620,385320,385500,386040,386160,386940,386940,387300,387540,387360,387660,387840,387780,387660,388080,388980,389280,389640,389520,389340,389220,389760,390180,390000,390780,390720,390600,390540,391020,391800,391560,391560,391920,392580,392580,392580,392580,393360,393720,394140,394860,395520,396000,396120,396300,397020,397740,398100,398760,399300,399840,400560,401100,401520,401640,401340,401460,401700,401520,402000,401880,401820,402300,402480,402240,402120,402120,401880,401940,402480,402420,402120,402720,402840,403260,403800,404400,404100,404100,404940,404880,405660,406020,406560,407220,407580,408300,408000,408180,407940,408360,408240,408240,407940,408780,409260,409800,409680,409860,410340,411060,411960,411780,412440,412920,413220,413700,414300,414240,415140,415260,416100,416820,416880,417120,418020,418320,418980,419820,420120,420000,420600,420960,421440,421140,421920,422040,422400,422880,423180,423900,424320,425100,424800,424740,424620,425040,425400,426180,426600,426360,426780,427440,427920,428460,428700,428760,429060,429180,430080,429840,430380,430500,431040,431220,430980,430860,431520,431820,431760,431520,431940,432180,433080,433380,433860,434640,434640,434640,434820,434940,435540,436080,436980,437400,437520,437400,437520,438360,439080,439560,439800,439800,439500,440280,440400,441120,441120,441180,440880,441480,442200,442680,443520,443640,443700,444060,444060,444240,444660,444420,444840,445320,445920,445680,445560,446100,446160,446160,446760,446520,447000,446940,446760,446700,447600,448200,448080,448740,449580,449820,449580,449880,450720,451140,450960,451860,452220,452580,453480,453900,454140,454440,454200,454440,454560,455340,456180,456240,457080,457200,458100,458100,458340,459120,459180,459960,460620,460320,460740,460740,461160,461160,461940,461640,461340,462240,462660,463380,463680,464520,464400,464100,463800,464340,465120,464940,465300,465000,465840,466080,466740,467160,467400,467400,467820,468660,468600,469320,469740,469500,469320,470220,470220,470040,470820,471300,471960,471900,472800,473340,473520,473460,474360,474600,475200,475740,476400,477060,477180,477960,478380,478860,479040,479760,479640,479340,480240,480660,480960,480840,481260,481020,480900,481080,481380,481680,481440,481560,481440,482220,482640,483420,483120,483660,483720,483900,483720,484080,484440,485160,485040,485640,485640,486120,485880,486240,486900,487620,487320,487740,487500,487320,488160,487920,488760,488460,488640,488460,488820,489600,489360,490080,490680,490980,491280,491940,492120,492300,492720,492420,492780,492960,493200,493800,494340,495240,495360,495120,495480,495660,495540,495780,496080,496020,496800,496680,496740,497640,497640,497940,497760,497880,498180,498120,498180,498060,498600,499140,499500,499920,500820,500760,501540,501480,502320,502740,502980,502740,503580,503640,503520,504180,504960,505800,506460,506820,507300,507540,508080,507900,508080,508020,508920,509820,510720,511620,512520,513420,514320,515220,516120,517020,517920,518820,519720,520620,521520,522420,523320,524220,525120,526020,526920,527820,528720,529620,530520,531420,532320,533220,534120,535020,535920,536820,537720,538620,539520,540420,541320,542220,543120,544020,544920,545820,546720,547620,548520,549420,550320,551220,552120,553020,553920,554820,555720,556620,557520,558420,559320,560220,561120,562020,562920,563820,564720,565620,566520,567420,568320,569220,570120,571020,571920,572820,573720,574620,575520,576420,577320,578220,579120,580020,580920,581820,582720,583620,584520,585420,586320,587220,588120,589020,589920,590820,591720,592620,593520,594420,595320,596220,597120,598020,598920,599820,600720,601620,602520,603420,604320,605220,606120,607020,607920,608820,609720,610620,611520,612420,613320,614220,615120,616020,616920,617820,618720,619620,620520,621420,622320,623220,624120,625020,625920,626820,627720,628620,629520,630420,631320
180,180,780,1560,1680,1680,1680,1980,1680,1380,1080,780,1320,1020,720,480,840,1020,1200,900,840,540,1260,960,660,1200,900,900,1440,1140,900,600,1500,1500,1200,900,600,480,180,0,180,1020,720,420,120,0,360,540,240,0,60,120,0,60,0,120,0,660,600,300,1080,1080,1860,1920,2400,2460,2460,2520,2220,2280,2340,3000,3060,3120,3780,4560,4260,3960,4020,4800,4500,5220,4920,4620,4380,4920,4620,4320,4920,5640,6540,6240,5940,5640,5340,5040,4740,4440,4140,3840,3840,3900,3960,4020,4080,4020,3720,3780,4620,5460,5160,4920,4620,5460,5160,4860,4560,4260,4680,4800,4500,4200,3900,3600,3300,3000,2700,3540,3240,2940,2640,2340,2760,2460,2160,1860,2520,2220,2280,2040,1800,1560,1320,1080,1740,1500,2220,1980,1740,1620,1380,1140,1620,1500,1260,1680,1440,1200,960,720,420,1320,2220,3120,4020,4920,5820,6720,7620,8520,9420,10320,11220,12120,13020,13920,14820,15720,16620,17520,18420,19320,20220,21120,22020,22920,23820,24720,25620,26520,27420,28320,29220,30120,31020,31920,32820,33720,34620,35520,36420,37320,38220,39120,40020,40920,41820,42720,43620,44520,45420,46320,47220,48120,49020,49920,50820,51720,52620,53520,54420,55320,56220,57120,58020,58920,59820,60720,61620,62520,63420,64320,65220,66120,67020,67920,68820,69720,70620,71520,72420,73320,74220,75120,76020,76920,77820,78720,79620,80520,81420,82320,83220,84120,85020,85920,86820,87720,88620,89520,90420,91320,92220,93120,94020,94920,95820,96720,97620,98520,99420,100320,101220,102120,103020,103920,104820,105720,106620,107520,108420,109320,110220,111120,112020,112920,113820,114720,115620,116520,117420,118320,119220,120120,121020,121920,122820,123720,124620,125520,126420,127320,128220,129120,130020,130920,131820,132720,133620,134520,135420,136320,137220,138120,139020,139920,140820,141720,142620,143520,144420,145320,146220,147120,148020,148920,149820,150720,151620,152520,153420,154320,155220,156120,157020,157920,158820,159720,160620,161520,162420,163320,164220,165120,166020,166920,167820,168720,169620,170520,171420,172320,173220,174120,175020,175920,176820,177720,178620,179520,180420,181320,182220,183120,184020,184920,185820,186720,187620,188520,189420,190320,191220,192120,193020,193920,194820,195720,196620,197520,198420,199320,200220,201120,202020,202920,203820,204720,205620,206520,207420,208320,209220,210120,211020,211920,212820,213720,214620,215520,216420,217320,218220,219120,218820,219720,219420,220020,220080,219780,220500,220200,219900,219600,219300,219600,220200,219900,220500,220200,219900,219600,219300,219000,218940,218880,218580,218880,218580,219120,218820,218520,218220,217920,218580,218280,217980,217680,217380,217080,217680,217380,217320,217020,216720,216420,216120,215820,215640,215340,215040,214740,214440,214140,214200,213900,213600,213300,213060,212820,212580,212280,212760,212460,212160,211860,211560,211260,211740,212400,212100,211800,211500,212160,211860,211560,211260,210960,210660,210360,210180,209880,209580,209280,208980,208680,208380,208080,207780,207480,207180,208080,208020,207720,208380,208080,207780,207480,207180,206880,206580,206280,206940,206640,206640,206580,206280,205980,205680,206460,206160,205860,205560,205260,204960,204660,204360,204060,203760,203460,203160,202980,202680,202380,202080,202860,202560,202260,202800,202500,202200,202260,201960,201660,201360,202020,201720,202080,201780,202680,202380,203040,202740,202440,202260,202680,202980,203520,203640,203340,203040,202740,202440,202140,202200,201900,202320,202920,202620,202500,203040,202740,202440,202140,201840,201540,201240,200940,200640,200340,200820,201480,201180,202080,201780,201480,201420,201120,200820,200520,201060,200940,200640,200340,200040,199740,199920,199620,199320,199020,198720,198420,198120,198780,199620,199320,199020,198720,198420,198120,197820,197520,197760,197460,198240,198900,198600,198300,198360,198360,198060,197760,197460,197160,196860,196560,196260,195960,195720,195420,195120,195120,194820,194520,194760,194580,194400,194940,195360,196020,195720,196620,196560,196260,195960,196200,196620,196320,196020,195720,195420,195120,194820,194520,195120,195960,195660,195360,195060,195900,195600,195300,195000,195600,195300,195000,194700,194460,194160,193860,193560,193260,192960,192660,193080,192780,193020,193080,192780,192480,192360,192060,191760,191460,191940,191640,191460,192000,192600,192300,192360,192060,191760,192240,191940,192600,192300,192120,192960,192660,192360,192060,191760,192600,192300,192000,191700,192120,192720,192420,192120,191820,191520,191220,191820,192120,191820,191520,191340,191040,190740,190440,190440,190140,189840,189540,190440,190140,189840,190080,189780,189480,189420,190080,189780,190320,190020,190320,190020,190800,190500,190200,190500,190680,190380,190080,189780,189480,189180,188880,188580,188280,187980,187680,187380,187080,186780,186480,186180,185880,186000,185700,185400,185100,185400,185940,185640,186480,186180,185880,185580,185940,185640,185340,185040,184740,185220,184920,184620,184920,184620,184500,184200,183900,183600,183780,183480,183180,182880,183060,182760,182460,182700,182400,182880,182580,183300,183000,183600,183300,183000,182700,183600,183300,184080,183780,183480,184200,183900,184080,183900,184800,184500,185280,184980,185040,185220,184920,185100,184800,184500,184200,184620,184800,184500,184440,184200,184500,184200,183900,183600,183300,183000,182700,182400,182100,181800,181500,181500,181200,180900,180600,181380,181140,180900,180660,180420,181260,181020,180780,180540,180300,180900,180660,181500,181260,181020,180780,181440,182160,182880,183720,183420,183120,182820,182700,182400,183240,183780,183780,183600,184500,184740,184440,184140,183840,184740,184440,184560,184260,183960,183660,183360,183060,183360,183060,182820,183660,183360,184200,183960,183720,183600,183360,183120,183840,184680,184440,184500,184260,184080,184800,184620,184380,184560,184320,184080,183840,183960,183720,183480,183240,184140,183900,183900,183900,184320,184920,185520,186240,186000,185760,185880,185640,185400,185340,185340,185100,184920,184680,184800,184560,184320,184080,183840,184380,184140,183900,183600,183300,183000,182880,182580,182280,183060,182760,182520,182520,182820,182760,182460,183000,183900,183600,183300,183000,182700,182400,182100,183000,182700,182400,182100,182520,182220,182220,182220,181920,182580,182280,182700,182400,182100,181800,181500,181200,180900,180600,181080,180780,180480,180180,179880,179580,179400,179100,178800,178500,178500,178200,178680,178380,178080,177780,178080,177780,177480,177180,176880,176580,176280,175980,176700,177480,177180,177420,178020,177720,177420,177120,176820,176520,176640,176820,176520,177180,176880,177660,177960,177660,177360,177120,177300,177000,176700,177300,177000,177000,176700,177240,176940,177660,177480,178140,177840,177540,177360,177720,177420,177120,176820,177600,177300,177960,178260,177960,177660,177360,177060,176760,176520,176700,177360,177540,177240,178140,177840,178680,178380,178080,177780,177660,177360,177060,176760,177660,177360,177060,176760,176460,177360,177900,177600,177300,177000,176700,177060,177180,176880,176580,176280,175980,176880,176580,176280,177060,176760,176640,176340,176040,175740,175440,175980,175680,175380,175080,174780,174480,174180,173880,174540,174240,173940,173640,173820,173520,173940,173640,174420,174120,174840,175440,175140,174840,174720,174420,174120,173940,173640,173340,173040,172740,172560,172980,173820,173520,173220,172920,172620,172320,172020,171720,171780,171480,171180,170880,171360,172140,173040,173160,172860,172860,173640,173340,173040,172740,172680,173220,173040,172740,173580,173280,173580,173280,172980,172860,172560,172260,171960,171660,171360,171360,172080,171840,171720,171660,171360,171060,171900,172080,171780,171480,171180,170880,171060,170760,171060,171060,170760,170520,170220,169920,169620,169320,169020,168720,168420,168120,168660,168360,169200,168900,168600,169320,169020,169500,169200,169320,169020,169440,169140,168840,168540,169080,168780,168480,168180,167880,167580,167280,166980,166680,166380,166080,165840,165540,165240,164940,164640,164340,164040,164340,165240,164940,165720,165420,165120,165000,165480,165780,165480,165180,165480,166380,166920,167580,167280,167340,168060,168300,168000,167700,167400,167100,166800,166500,167040,167940,168840,169740,170640,171540,172440,173340,174240,175140,176040,176940,177840,178740,179640,180540,181440,182340,183240,184140,185040,185940,186840,187740,188640,189540,190440,191340,192240,193140,194040,194940,195840,196740,197640,198540,199440,200340,201240,202140,203040,203940,204840,205740,206640,207540,208440,209340,210240,211140,212040,212940,213840,214740,215640,216540,217440,218340,219240,220140,221040,221940,222840,223740,224640,225540,226440,227340,228240,229140,230040,230940,231840,232740,233640,234540,235440,236340,237240,238140,239040,239940,240840,241740,242640,243540,244440,245340,246240,247140,248040,248940,249840,250740,251640,252540,253440,254340,255240,256140,257040,257940,258840,259740,260640,261540,262440,263340,264240,265140,266040,266940,267840,268740,269640,270540,271440,272340,273240,274140,275040,275940,276840,277740,278640,279540,280440,281340,282240,283140,284040,284940,285840,286740,287640,288540,289440,290340,291240,292140,293040,293940,294840,295740,296640,297540,298440,299340,300240,301140,302040,302940,303840,304740,305640,306540,307440,308340,309240,310140,311040,311940,312840,313740,314640,315540,316440,317340,318240,319140,320040,320940,321840,322740,323640,324540,325440,326340,327240,328140,329040,329940,330840,331740,332640,333540,334440,335340,336240,337140,338040,338940,339840,340740,341640,342540,343440,344340,345240,346140,347040,347940,348840,349740
